Model,Threshold,Accuracy,Balanced_Acc,Precision,Recall,F1
LinearSVM,0.73,0.6842105263157895,0.6302681992337165,0.8333333333333334,0.7327586206896551,0.7798165137614679
LinearSVM,0.74,0.6842105263157895,0.6302681992337165,0.8333333333333334,0.7327586206896551,0.7798165137614679
LinearSVM,0.75,0.6842105263157895,0.6398467432950192,0.84,0.7241379310344828,0.7777777777777778
LinearSVM,0.76,0.6644736842105263,0.6269157088122606,0.8350515463917526,0.6982758620689655,0.7605633802816901
LinearSVM,0.77,0.6513157894736842,0.6182950191570882,0.8315789473684211,0.6810344827586207,0.7488151658767772
LinearSVM,0.78,0.6513157894736842,0.6182950191570882,0.8315789473684211,0.6810344827586207,0.7488151658767772
LinearSVM,0.79,0.6381578947368421,0.6096743295019158,0.8279569892473119,0.6637931034482759,0.7368421052631579
LinearSVM,0.8,0.625,0.6010536398467433,0.8241758241758241,0.646551724137931,0.7246376811594203
LinearSVM,0.81,0.6118421052631579,0.5924329501915708,0.8202247191011236,0.6293103448275862,0.7121951219512195
LinearSVM,0.8200000000000001,0.5855263157894737,0.5751915708812261,0.8117647058823529,0.5948275862068966,0.6865671641791045
LinearSVM,0.8300000000000001,0.5855263157894737,0.5847701149425287,0.8192771084337349,0.5862068965517241,0.6834170854271356
LinearSVM,0.8400000000000001,0.5855263157894737,0.5943486590038314,0.8271604938271605,0.5775862068965517,0.6802030456852792
LinearSVM,0.85,0.5789473684210527,0.5900383141762453,0.825,0.5689655172413793,0.673469387755102
LinearSVM,0.86,0.5526315789473685,0.5727969348659003,0.8157894736842105,0.5344827586206896,0.6458333333333334
LinearSVM,0.87,0.5526315789473685,0.5823754789272031,0.8243243243243243,0.5258620689655172,0.6421052631578947
LinearSVM,0.88,0.5657894736842105,0.6293103448275862,0.8676470588235294,0.5086206896551724,0.6413043478260869
LinearSVM,0.89,0.5855263157894737,0.6805555555555556,0.9206349206349206,0.5,0.6480446927374302
LinearSVM,0.9,0.5657894736842105,0.6676245210727969,0.9166666666666666,0.47413793103448276,0.625
LinearSVM,0.91,0.5526315789473685,0.6685823754789272,0.9285714285714286,0.4482758620689655,0.6046511627906976
LinearSVM,0.92,0.5328947368421053,0.6748084291187739,0.9591836734693877,0.4051724137931034,0.5696969696969697
LinearSVM,0.93,0.5197368421052632,0.6757662835249042,0.9777777777777777,0.3793103448275862,0.546583850931677
LinearSVM,0.9400000000000001,0.5131578947368421,0.6810344827586207,1.0,0.3620689655172414,0.5316455696202531
LinearSVM,0.9500000000000001,0.48026315789473684,0.6594827586206897,1.0,0.31896551724137934,0.48366013071895425
LinearSVM,0.9600000000000001,0.4473684210526316,0.6379310344827587,1.0,0.27586206896551724,0.43243243243243246
LinearSVM,0.97,0.4144736842105263,0.6163793103448276,1.0,0.23275862068965517,0.3776223776223776
LinearSVM,0.98,0.3815789473684211,0.5948275862068966,1.0,0.1896551724137931,0.3188405797101449
LinearSVM,0.99,0.32894736842105265,0.5603448275862069,1.0,0.1206896551724138,0.2153846153846154
LogisticRegression,0.01,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LogisticRegression,0.02,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LogisticRegression,0.03,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LogisticRegression,0.04,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LogisticRegression,0.05,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LogisticRegression,0.060000000000000005,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LogisticRegression,0.06999999999999999,0.7631578947368421,0.5,0.7631578947368421,1.0,0.8656716417910447
LogisticRegression,0.08,0.756578947368421,0.4956896551724138,0.7615894039735099,0.9913793103448276,0.8614232209737828
LogisticRegression,0.09,0.756578947368421,0.4956896551724138,0.7615894039735099,0.9913793103448276,0.8614232209737828
LogisticRegression,0.09999999999999999,0.756578947368421,0.4956896551724138,0.7615894039735099,0.9913793103448276,0.8614232209737828
LogisticRegression,0.11,0.756578947368421,0.4956896551724138,0.7615894039735099,0.9913793103448276,0.8614232209737828
LogisticRegression,0.12,0.743421052631579,0.4870689655172414,0.7583892617449665,0.9741379310344828,0.8528301886792453
LogisticRegression,0.13,0.743421052631579,0.4870689655172414,0.7583892617449665,0.9741379310344828,0.8528301886792453
LogisticRegression,0.14,0.7368421052631579,0.4827586206896552,0.7567567567567568,0.9655172413793104,0.8484848484848485
LogisticRegression,0.15000000000000002,0.743421052631579,0.4966475095785441,0.7619047619047619,0.9655172413793104,0.8517110266159695
LogisticRegression,0.16,0.743421052631579,0.4966475095785441,0.7619047619047619,0.9655172413793104,0.8517110266159695
LogisticRegression,0.17,0.75,0.5105363984674329,0.7671232876712328,0.9655172413793104,0.8549618320610687
LogisticRegression,0.18000000000000002,0.756578947368421,0.5244252873563219,0.7724137931034483,0.9655172413793104,0.8582375478927203
LogisticRegression,0.19,0.7697368421052632,0.5522030651340997,0.7832167832167832,0.9655172413793104,0.8648648648648649
LogisticRegression,0.2,0.7697368421052632,0.5522030651340997,0.7832167832167832,0.9655172413793104,0.8648648648648649
LogisticRegression,0.21000000000000002,0.7697368421052632,0.5522030651340997,0.7832167832167832,0.9655172413793104,0.8648648648648649
LogisticRegression,0.22,0.7763157894736842,0.5660919540229885,0.7887323943661971,0.9655172413793104,0.8682170542635659
