Threshold,Accuracy,Balanced_Acc,Precision,Recall,F1
0.81,0.506578947368421,0.5617816091954023,0.8153846153846154,0.45689655172413796,0.585635359116022
0.8200000000000001,0.506578947368421,0.5617816091954023,0.8153846153846154,0.45689655172413796,0.585635359116022
0.8300000000000001,0.506578947368421,0.571360153256705,0.8253968253968254,0.4482758620689655,0.5810055865921788
0.8400000000000001,0.4934210526315789,0.5627394636015326,0.819672131147541,0.43103448275862066,0.5649717514124294
0.85,0.4934210526315789,0.5818965517241379,0.8421052631578947,0.41379310344827586,0.5549132947976878
0.86,0.506578947368421,0.6192528735632183,0.8867924528301887,0.4051724137931034,0.5562130177514792
0.87,0.5,0.6149425287356323,0.8846153846153846,0.39655172413793105,0.5476190476190477
0.88,0.506578947368421,0.6671455938697318,0.9767441860465116,0.3620689655172414,0.5283018867924528
0.89,0.5,0.6724137931034483,1.0,0.3448275862068966,0.5128205128205128
0.9,0.48026315789473684,0.6594827586206897,1.0,0.31896551724137934,0.48366013071895425
0.91,0.4605263157894737,0.646551724137931,1.0,0.29310344827586204,0.4533333333333333
0.92,0.4473684210526316,0.6379310344827587,1.0,0.27586206896551724,0.43243243243243246
0.93,0.4342105263157895,0.6293103448275862,1.0,0.25862068965517243,0.410958904109589
0.9400000000000001,0.39473684210526316,0.603448275862069,1.0,0.20689655172413793,0.34285714285714286
0.9500000000000001,0.3815789473684211,0.5948275862068966,1.0,0.1896551724137931,0.3188405797101449
0.9600000000000001,0.375,0.5905172413793104,1.0,0.1810344827586207,0.30656934306569344
0.97,0.3684210526315789,0.5862068965517242,1.0,0.1724137931034483,0.29411764705882354
0.98,0.34868421052631576,0.5732758620689655,1.0,0.14655172413793102,0.2556390977443609
0.99,0.3157894736842105,0.5517241379310345,1.0,0.10344827586206896,0.1875
