mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__solver,param_mlp__learning_rate_init,param_mlp__hidden_layer_sizes,param_mlp__batch_size,param_mlp__alpha,param_mlp__activation,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10183477401733398,0.010273674091480651,0.0010009606679280598,0.0014155721519858943,adam,0.0014384498882876629,"(64, 32, 16)",64,0.1,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0014384498882876629), 'mlp__hidden_layer_sizes': (64, 32, 16), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.1), 'mlp__activation': 'tanh'}",0.8,0.8767123287671232,0.8148148148148148,0.8305090478606459,0.03322576369216561,33
0.07968664169311523,0.0036883737370580734,0.0023310979207356772,0.0016977113793499653,adam,0.0008858667904100823,"(32,)",16,1e-06,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0008858667904100823), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(1e-06), 'mlp__activation': 'relu'}",0.7142857142857143,0.8311688311688312,0.9090909090909091,0.8181818181818182,0.0800573247138828,47
0.04464618364969889,0.009610739612553766,0.0009947617848714192,0.0014068056074956284,adam,0.007847599703514606,"(32, 16)",64,0.00023357214690901214,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.007847599703514606), 'mlp__hidden_layer_sizes': (32, 16), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.00023357214690901214), 'mlp__activation': 'tanh'}",0.72,0.8656716417910447,0.8705882352941177,0.8187532923617208,0.06985796440935585,46
0.07451057434082031,0.024817487285839903,0.00885923703511556,0.006950601060359929,adam,0.0003359818286283781,"(128,)",32,1.1288378916846883e-05,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0003359818286283781), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(1.1288378916846883e-05), 'mlp__activation': 'relu'}",0.7532467532467533,0.6567164179104478,0.9090909090909091,0.7730180267493701,0.1039756330158999,90
0.09886503219604492,0.001655548616125093,0.0,0.0,adam,0.0001623776739188721,"(64, 32)",64,0.0014384498882876629,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0001623776739188721), 'mlp__hidden_layer_sizes': (64, 32), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.0014384498882876629), 'mlp__activation': 'tanh'}",0.5573770491803278,0.5925925925925926,0.684931506849315,0.6116337162074118,0.053786356443454336,116
0.05199805895487467,0.0020721502131379075,0.006604989369710286,0.007324029299291411,adam,0.01,"(128,)",64,3.359818286283781e-06,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.01), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(3.359818286283781e-06), 'mlp__activation': 'relu'}",0.7532467532467533,0.8205128205128205,0.9333333333333333,0.8356976356976357,0.07429996877957083,25
0.06833783785502116,0.007047825316538583,0.0033446947733561196,0.0004807215599912839,adam,0.007847599703514606,"(64, 32, 16)",32,0.029763514416313194,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.007847599703514606), 'mlp__hidden_layer_sizes': (64, 32, 16), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.029763514416313194), 'mlp__activation': 'tanh'}",0.8292682926829268,0.7945205479452054,0.8,0.8079296135427109,0.01525364479486824,61
0.11757946014404297,0.00768174020272016,0.004178841908772786,0.0010325773024604645,adam,0.000545559478116852,"(128, 64)",64,1.8329807108324375e-06,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.000545559478116852), 'mlp__hidden_layer_sizes': (128, 64), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(1.8329807108324375e-06), 'mlp__activation': 'relu'}",0.7848101265822784,0.8205128205128205,0.9213483146067416,0.8422237539006135,0.057816910263796255,18
0.06896471977233887,0.006284430530748364,0.003549655278523763,0.0007690595080069532,adam,0.0018329807108324356,"(128, 64)",64,6.951927961775606e-05,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0018329807108324356), 'mlp__hidden_layer_sizes': (128, 64), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(6.951927961775606e-05), 'mlp__activation': 'tanh'}",0.625,0.7945205479452054,0.9213483146067416,0.780289620850649,0.12140145621598343,86
0.03532814979553223,0.002349003253776532,0.0036223729451497397,0.0051228089470041335,adam,0.002976351441631319,"(32,)",64,0.029763514416313194,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.002976351441631319), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.029763514416313194), 'mlp__activation': 'relu'}",0.6829268292682927,0.8157894736842105,0.9195402298850575,0.8060855109458536,0.09684042030570349,65
